scenario,runIndex,seed,generator,numOfStates,numOfCalls,numOfLocals,numOfReturns,numOfStackSymbols,density,acceptingStatesDensity,numOfModules,secondDvpaNumOfStates,useSrs,useEquivalenceCheckToValidateOutput,equivalenceQueryCount,equivalenceQueryHypothesisStatesTotal,equivalenceQueryTimeUs,equivalenceQueryTargetMembershipQueryCount,equivalenceQueryTargetMembershipQuerySymbolsTotal,membershipQueryCount,membershipQuerySymbolsTotal,membershipQueryTimeUs,stackContentQueryCount,stackContentQuerySymbolsTotal,stackContentQueryTimeUs,srsCheckCount,srsCheckTimeUs,srsCounterexampleCount,automataGeneratedCount,automataGenerationTimeUs,learnerTimeUs,outputValidationTimeUs,status,targetNumOfStates,targetAcceptingStates,hypothesisNumOfStates,hypothesisAcceptingStates
cancellation-srs-mixed,22,23,cancellation,26,4,3,4,6,0.8,0.3,5,2,0,0,20,347,49710504,0,0,1116629,5425709,1697,907948,4477287,1474,0,0,0,20,671897,50384622,0,passed,26,4,27,4
cancellation-srs-mixed,23,24,cancellation,24,4,3,4,6,0.8,0.3,5,2,0,0,12,192,27627909,0,0,385147,1651172,562,269468,1198379,1488,0,0,0,12,222482,27851284,0,passed,24,7,25,7
cancellation-srs-mixed,24,25,cancellation,20,4,3,4,6,0.8,0.3,5,2,0,0,15,193,14907912,0,0,444661,2129631,1035,344727,1679077,672,0,0,0,15,278718,15187771,0,passed,20,4,21,4
cancellation-srs-mixed,25,26,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,23,291,26016991,0,0,824179,3837023,1616,704086,3299617,1229,0,0,0,23,524580,26544691,0,passed,22,1,23,1
cancellation-srs-mixed,26,27,cancellation,26,4,3,4,6,0.8,0.3,5,2,0,0,15,222,51013528,0,0,787875,4371836,1096,653621,3641327,1023,0,0,0,15,538814,51553842,0,passed,26,3,27,3
cancellation-srs-mixed,27,28,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,12,152,14028504,0,0,174035,740818,369,141600,626078,323,0,0,0,12,96699,14126174,0,passed,22,5,23,5
cancellation-srs-mixed,28,29,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,13,178,15530584,0,0,212431,926184,167,173617,785108,214,0,0,0,13,134415,15666188,0,passed,22,4,23,4
cancellation-srs-mixed,29,30,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,13,177,11317035,0,0,331089,1521379,496,237783,1112713,346,0,0,0,13,192740,11510745,0,passed,22,6,23,6
cancellation-srs-mixed,30,31,cancellation,24,4,3,4,6,0.8,0.3,5,2,0,0,19,332,42459692,0,0,843255,4120859,1040,719638,3544104,1461,0,0,0,19,542236,43004127,0,passed,24,2,25,2
cancellation-srs-mixed,31,32,cancellation,26,4,3,4,6,0.8,0.3,5,2,0,0,17,281,63315093,0,0,402373,1947672,855,334023,1686647,295,0,0,0,17,240880,63557743,0,passed,26,5,27,5
